duracion,station_A_id,station_A_name,station_B_id,station_B_name,id_cicla,edad,usuario_tipo,año_nacimiento,genero
11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),363,Salesforce Transit Center (Natoma St at 2nd St),4417,41,2,1973,Male
12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),58,Market St at 10th St,4983,50,1,1988,Male
5 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,4968,21,1,1979,Male
2 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),8,The Embarcadero at Vallejo St,4639,23,2,1979,Male
20 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),99,Folsom St at 15th St,5343,21,1,1980,Male
13 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),60,8th St at Ringold St,5255,55,2,1980,Male
4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,933,29,3,1991,Male
6 minutes,16,Steuart St at Market St,343,Bryant St at 2nd St,5213,36,1,1972,Male
6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),78,Folsom St at 9th St,5257,60,2,1988,Male
7 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),4812,64,1,1990,Male
10 minutes,81,Berry St at 4th St,21,Montgomery St BART Station (Market St at 2nd St),5422,64,2,1985,Male
8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),5296,33,1,1972,Male
6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),36,Folsom St at 3rd St,5427,20,1,1972,Male
7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),364,China Basin St at 3rd St,124,33,1,1983,Male
5 minutes,22,Howard St at Beale St,49,S Park St at 3rd St,4413,50,1,1986,Male
