duracion,station_A_id,station_A_name,station_B_id,station_B_name,id_cicla,edad,usuario_tipo,año_nacimiento,genero
8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),20,Mechanics Monument Plaza (Market St at Bush St),5232,38,2,1985,Male
7 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,4846,33,2,1996,Female
7 minutes,30,San Francisco Caltrain (Townsend St at 4th St),16,Steuart St at Market St,5467,53,1,1967,Male
4 minutes,16,Steuart St at Market St,28,The Embarcadero at Bryant St,5249,38,2,1977,Male
6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),88,11th St at Bryant St,4972,57,3,1989,Female
6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),88,11th St at Bryant St,5069,34,3,1989,Male
16 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),63,Bryant St at 6th St,5286,35,1,1962,Female
7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),44,Civic Center/UN Plaza BART Station (Market St at McAllister St),5304,34,3,1973,Male
6 minutes,22,Howard St at Beale St,6,The Embarcadero at Sansome St,5535,22,2,1975,Male
13 minutes,21,Montgomery St BART Station (Market St at 2nd St),126,Esprit Park,5454,23,2,1991,Male
6 minutes,5,Powell St BART Station (Market St at 5th St),80,Townsend St at 5th St,2933,48,1,1991,Other
4 minutes,22,Howard St at Beale St,13,Commercial St at Montgomery St,1156,28,3,1981,Female
4 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,5034,20,2,1993,Male
5 minutes,30,San Francisco Caltrain (Townsend St at 4th St),27,Beale St at Harrison St,4944,49,2,1984,Male
11 minutes,22,Howard St at Beale St,364,China Basin St at 3rd St,2781,17,2,1974,Male
12 minutes,16,Steuart St at Market St,104,4th St at 16th St,2054,26,3,1972,Female
11 minutes,21,Montgomery St BART Station (Market St at 2nd St),92,Mission Bay Kids Park,4796,50,2,1988,Male
4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),321,5th St at Folsom,4609,55,3,1992,Female
4 minutes,22,Howard St at Beale St,343,Bryant St at 2nd St,5468,62,1,1983,Male
4 minutes,81,Berry St at 4th St,91,Berry St at King St,1106,28,2,1990,Female
9 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),66,3rd St at Townsend St,1653,37,3,1965,Male
4 minutes,5,Powell St BART Station (Market St at 5th St),284,Yerba Buena Center for the Arts (Howard St at 3rd St),1964,56,1,1986,Male
28 minutes,3,Powell St BART Station (Market St at 4th St),81,Berry St at 4th St,4980,63,3,1971,Male
9 minutes,16,Steuart St at Market St,81,Berry St at 4th St,746,26,1,1970,Male
9 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),66,3rd St at Townsend St,3716,42,3,1978,Male
7 minutes,21,Montgomery St BART Station (Market St at 2nd St),64,5th St at Brannan St,5011,41,1,1974,Male
15 minutes,16,Steuart St at Market St,126,Esprit Park,5097,20,2,1985,Male
10 minutes,22,Howard St at Beale St,9,Broadway at Battery St,148,48,1,1973,Male
8 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),49,S Park St at 3rd St,5032,21,3,1974,Male
